invoice_id,invoice_amount,submission_hour,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,annual_budget,ocr_total_extracted,image_tamper_flag,amount_to_supplier_90d_avg_ratio,amount_to_supplier_avg_ratio,amount_diff_supplier_90d_avg,supplier_age_years,invoice_day_of_week,weekend_invoice_flag,outside_business_hours_flag,invoice_to_department_budget_ratio,log_invoice_amount,image_metadata_available_flag,invoice_ocr_amount_diff,invoice_ocr_relative_diff,payment_terms_NET30,payment_terms_NET60,payment_terms_NET90,invoice_type_GOODS,invoice_type_SERVICES
CRG-2026-000001,6093.11,10,8,6671.21,-0.309,0,0,0,1985,0.816,0,6874.77,4561074.28,6080.26,0,0.9133,0.8863,-578.1,5.435,3,0,0,0.001336,8.715077,1,12.85,0.00211,0,0,1,0,1
CRG-2026-000002,2456.75,17,8,2399.05,0.086,0,0,0,2979,0.306,0,2230.91,866192.38,2473.27,0,1.0241,1.1012,57.7,8.156,0,0,0,0.002836,7.807001,1,16.52,0.00672,1,0,0,1,0
CRG-2026-000003,7760.69,11,8,6671.21,0.583,0,0,0,1985,0.816,0,7168.31,2591097.01,7718.24,0,1.1633,1.0826,1089.48,5.435,6,1,0,0.002995,8.956956,1,42.45,0.00547,1,0,0,1,0
CRG-2026-000004,8117.4,7,10,8759.74,-0.262,0,0,0,3258,0.265,0,8288.6,894171.91,8164.04,0,0.9267,0.9793,-642.34,8.92,3,0,1,0.009078,9.001889,1,46.64,0.00575,0,1,0,1,0
CRG-2026-000005,3539.05,13,8,3900.12,-0.331,0,0,0,2018,0.24,0,3666.87,3742464.76,3538.76,0,0.9074,0.9651,-361.07,5.525,2,0,0,0.000946,8.171896,1,0.29,8e-05,0,1,0,1,0
CRG-2026-000006,892.78,15,10,849.9,0.18,0,0,0,1285,0.137,0,835.43,3807912.04,897.27,0,1.0505,1.0686,42.89,3.518,6,1,0,0.000234,6.795463,1,4.48,0.00502,1,0,0,0,1
CRG-2026-000007,2562.19,18,5,2734.79,-0.225,0,0,0,2581,0.273,0,2948.51,3761294.51,2551.52,0,0.9369,0.869,-172.6,7.066,3,0,0,0.000681,7.849008,1,10.67,0.00416,0,1,0,0,1
CRG-2026-000008,19487.44,7,5,16700.8,0.596,0,0,0,3539,0.026,0,16764.2,4147969.8,19678.05,0,1.1669,1.1624,2786.64,9.689,1,0,1,0.004698,9.877577,1,190.62,0.00978,1,0,0,1,0
CRG-2026-000009,2753.77,21,9,2546.98,0.29,0,0,0,4020,0.058,0,2514.5,2142754.74,2765.79,0,1.0812,1.0952,206.79,11.006,6,1,1,0.001285,7.921089,1,12.02,0.00436,1,0,0,0,1
CRG-2026-000010,3739.9,9,7,3769.76,-0.028,0,0,0,2471,0.147,0,3666.2,3599371.69,3739.05,0,0.9921,1.0201,-29.86,6.765,1,0,0,0.001039,8.227081,1,0.85,0.00023,1,0,0,1,0
CRG-2026-000011,1601.86,18,8,1633.07,-0.068,0,0,0,809,0.539,0,1573.56,4886977.26,1626.59,0,0.9809,1.018,-31.21,2.215,0,0,0,0.000328,7.379547,1,24.73,0.01544,0,1,0,1,0
CRG-2026-000012,1448.27,18,9,1410.61,0.095,0,0,0,2741,0.105,0,1471.08,1174630.3,1439.21,0,1.0267,0.9845,37.66,7.504,4,0,0,0.001233,7.278818,1,9.06,0.00626,0,1,0,1,0
CRG-2026-000013,4530.63,9,8,3499.42,1.052,0,0,0,4503,0.178,0,3602.29,4360649.42,4551.27,0,1.2947,1.2577,1031.21,12.329,2,0,0,0.001039,8.418836,1,20.65,0.00456,0,1,0,1,0
CRG-2026-000014,3381.31,9,9,3550.23,-0.17,0,0,0,3124,0.123,0,3724.07,2296692.87,0.0,0,0.9524,0.908,-168.91,8.553,0,0,0,0.001472,8.126315,0,0.0,0.0,1,0,0,1,0
CRG-2026-000015,8491.21,14,5,8438.4,0.022,0,0,0,3128,0.323,0,8168.92,2728932.67,8311.54,0,1.0063,1.0395,52.81,8.564,5,1,0,0.003112,9.046904,1,179.67,0.02116,1,0,0,0,1
CRG-2026-000016,10584.13,9,9,8438.4,0.908,0,0,0,3128,0.323,0,7996.98,883760.36,10572.1,0,1.2543,1.3235,2145.73,8.564,5,1,0,0.011976,9.267206,1,12.04,0.00114,1,0,0,0,1
CRG-2026-000017,6141.53,22,2,3405.33,2.87,1,1,1,3812,0.99,1,3375.57,2673785.23,5716.77,1,1.8035,1.8194,2736.19,10.437,0,0,1,0.002297,8.722991,1,424.75,0.06916,1,0,0,1,0
CRG-2026-000018,572.82,16,15,661.76,-0.48,0,0,0,3279,0.271,0,706.81,4336423.13,568.88,0,0.8656,0.8104,-88.93,8.977,5,1,0,0.000132,6.352321,1,3.94,0.00688,0,1,0,1,0
CRG-2026-000019,2129.64,7,6,3437.32,-1.359,0,0,0,3523,0.252,0,3186.6,802089.82,2135.07,0,0.6196,0.6683,-1307.68,9.645,0,0,1,0.002655,7.664176,1,5.43,0.00255,1,0,0,0,1
CRG-2026-000020,378.21,20,7,356.96,0.213,0,0,0,526,0.207,0,379.26,1436780.0,379.38,0,1.0595,0.9972,21.25,1.44,1,0,1,0.000263,5.938084,1,1.17,0.0031,1,0,0,0,1
CRG-2026-000021,9880.18,14,7,10309.85,-0.149,0,0,0,2584,0.192,0,9903.15,2551172.7,9848.33,0,0.9583,0.9977,-429.67,7.075,3,0,0,0.003873,9.198387,1,31.85,0.00322,0,1,0,0,1
CRG-2026-000022,3357.19,18,10,3553.63,-0.197,0,0,0,1517,0.111,0,3744.33,5275680.55,3379.69,0,0.9447,0.8966,-196.44,4.153,1,0,0,0.000636,8.119158,1,22.5,0.0067,0,1,0,1,0
CRG-2026-000023,2730.28,18,13,2595.05,0.186,0,0,0,2703,0.349,0,2680.86,2962068.29,2729.75,0,1.0521,1.0184,135.23,7.4,4,0,0,0.000922,7.912525,1,0.53,0.00019,1,0,0,0,1
CRG-2026-000024,1756.45,9,6,1958.57,-0.369,0,0,0,1459,0.376,0,1844.95,5562536.58,1762.11,0,0.8968,0.952,-202.12,3.995,5,1,0,0.000316,7.471619,1,5.66,0.00322,1,0,0,0,1
CRG-2026-000025,3226.1,17,6,2902.85,0.398,0,0,0,827,0.297,0,2993.4,872523.03,3187.69,0,1.1114,1.0777,323.25,2.264,3,0,0,0.003697,8.07934,1,38.41,0.01191,1,0,0,0,1
CRG-2026-000026,559.46,18,8,849.9,-1.22,0,0,0,1285,0.137,0,791.61,1109401.98,559.94,0,0.6583,0.7067,-290.44,3.518,5,1,0,0.000504,6.328758,1,0.48,0.00085,1,0,0,1,0
CRG-2026-000027,4121.57,20,11,4576.26,-0.355,0,0,0,4219,0.195,0,4351.85,1225077.62,4111.66,0,0.9006,0.9471,-454.69,11.551,4,0,1,0.003364,8.324232,1,9.91,0.0024,1,0,0,0,1
CRG-2026-000028,9922.14,14,11,9500.41,0.159,0,0,0,104,0.362,0,9495.92,3163430.58,9872.26,0,1.0444,1.0449,421.72,0.285,3,0,0,0.003137,9.202624,1,49.87,0.00503,1,0,0,1,0
CRG-2026-000029,1988.51,18,5,2514.38,-0.747,0,0,0,2864,0.266,0,2574.12,5316640.97,1970.16,0,0.7909,0.7725,-525.87,7.841,4,0,0,0.000374,7.595644,1,18.35,0.00923,1,0,0,1,0
CRG-2026-000030,1422.48,18,10,1580.9,-0.358,0,0,0,260,0.081,0,1554.57,1891623.99,1428.75,0,0.8998,0.915,-158.42,0.712,5,1,0,0.000752,7.26086,1,6.27,0.00441,0,1,0,0,1
CRG-2026-000031,8054.09,7,5,3437.32,4.797,0,0,0,3523,0.252,0,3387.12,3788258.81,8023.08,0,2.3431,2.3779,4616.77,9.645,1,0,1,0.002126,8.994059,1,31.01,0.00385,0,1,0,0,1
CRG-2026-000032,3031.0,11,8,3184.3,-0.172,0,0,0,392,0.113,0,3252.04,1345417.16,3025.04,0,0.9519,0.932,-153.3,1.073,3,0,0,0.002253,8.016976,1,5.95,0.00196,0,1,0,1,0
CRG-2026-000033,3609.97,7,5,3405.33,0.215,0,0,0,3812,0.931,1,3432.17,4173755.74,3629.97,0,1.0601,1.0518,204.64,10.437,2,0,1,0.000865,8.191732,1,19.99,0.00554,1,0,0,1,0
CRG-2026-000034,1044.19,18,5,1090.14,-0.151,0,0,0,3502,0.575,0,1170.47,3089469.73,1029.1,0,0.9578,0.8921,-45.95,9.588,5,1,0,0.000338,6.951954,1,15.09,0.01445,1,0,0,0,1
CRG-2026-000035,5301.04,18,6,5934.05,-0.381,0,0,0,3835,0.143,0,5673.8,5024288.11,5349.85,0,0.8933,0.9343,-633.01,10.5,6,1,0,0.001055,8.575848,1,48.8,0.00921,1,0,0,1,0
CRG-2026-000036,2634.99,13,6,2490.17,0.208,0,0,0,1082,0.461,0,2455.68,4366706.41,2614.88,0,1.0582,1.073,144.82,2.962,6,1,0,0.000603,7.877013,1,20.11,0.00763,1,0,0,0,1
CRG-2026-000037,27810.35,8,8,26256.61,0.211,0,0,0,2905,0.056,0,24603.9,2962308.67,27591.4,0,1.0592,1.1303,1553.74,7.953,3,0,0,0.009388,10.2332,1,218.95,0.00787,1,0,0,1,0
CRG-2026-000038,3885.2,10,12,3886.72,-0.001,0,0,0,4722,0.193,0,3934.4,1562180.08,3844.91,0,0.9996,0.9875,-1.52,12.928,3,0,0,0.002487,8.265187,1,40.29,0.01037,0,0,1,1,0
CRG-2026-000039,2019.37,6,6,2147.76,-0.213,0,0,0,809,0.191,0,2085.05,1665398.6,2016.67,0,0.9402,0.9685,-128.39,2.215,6,1,1,0.001213,7.611037,1,2.7,0.00134,1,0,0,0,1
CRG-2026-000040,3003.84,10,8,3877.27,-0.805,0,0,0,1808,0.15,0,4041.64,4309299.34,3022.46,0,0.7747,0.7432,-873.43,4.95,0,0,0,0.000697,8.00798,1,18.62,0.0062,0,1,0,1,0
CRG-2026-000041,2971.45,18,6,2512.42,0.653,0,0,0,3054,0.147,0,2584.52,4385832.57,2944.97,0,1.1827,1.1497,459.03,8.361,1,0,0,0.000678,7.997141,1,26.48,0.00891,0,1,0,1,0
CRG-2026-000042,920.97,14,6,1162.52,-0.742,0,0,0,2459,0.557,0,1169.1,2931155.93,913.8,0,0.7922,0.7878,-241.55,6.732,3,0,0,0.000314,6.82651,1,7.17,0.00778,1,0,0,0,1
CRG-2026-000043,895.26,13,10,919.61,-0.095,0,0,0,1769,0.327,0,908.45,804369.37,897.27,0,0.9735,0.9855,-24.35,4.843,5,1,0,0.001113,6.798232,1,2.0,0.00224,0,0,1,1,0
CRG-2026-000044,10240.71,15,2,4576.26,4.421,0,1,0,4219,0.295,0,4602.3,5418347.76,10347.07,0,2.2378,2.2251,5664.45,11.551,4,0,0,0.00189,9.234224,1,106.35,0.01039,1,0,0,1,0
CRG-2026-000045,7865.15,17,6,8918.07,-0.422,0,0,0,5029,0.167,0,8306.4,2771850.37,7860.72,0,0.8819,0.9469,-1052.92,13.769,0,0,0,0.002838,8.970324,1,4.43,0.00056,1,0,0,1,0
CRG-2026-000046,4208.44,15,10,4220.49,-0.01,0,0,0,894,0.321,0,4186.47,4053412.02,4193.76,0,0.9971,1.0052,-12.05,2.448,3,0,0,0.001038,8.345086,1,14.68,0.00349,1,0,0,0,1
CRG-2026-000047,4262.07,17,10,4128.64,0.115,0,0,0,1409,0.381,0,4353.29,2734250.32,4240.52,0,1.0323,0.979,133.43,3.858,0,0,0,0.001559,8.357746,1,21.55,0.00506,1,0,0,1,0
CRG-2026-000048,26340.37,10,10,26256.61,0.011,0,0,0,2905,0.056,0,27739.24,1375169.85,26844.54,0,1.0032,0.9496,83.75,7.953,2,0,0,0.019154,10.178896,1,504.17,0.01914,1,0,0,1,0
