invoice_id,invoice_amount,submission_hour,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,annual_budget,ocr_total_extracted,image_tamper_flag,amount_to_supplier_90d_avg_ratio,amount_to_supplier_avg_ratio,amount_diff_supplier_90d_avg,supplier_age_years,invoice_day_of_week,weekend_invoice_flag,outside_business_hours_flag,invoice_to_department_budget_ratio,log_invoice_amount,image_metadata_available_flag,invoice_ocr_amount_diff,invoice_ocr_relative_diff,payment_terms_NET30,payment_terms_NET60,payment_terms_NET90,invoice_type_GOODS,invoice_type_SERVICES
HVL-2026-000001,2408.92,9,9,2691.24,-0.375,0,0,0,2409,0.19,0,2528.47,1466974.23,2410.45,0,0.8951,0.9527,-282.32,6.595,3,0,0,0.001642,7.787347,1,1.54,0.00064,1,0,0,0,1
HVL-2026-000002,4099.87,7,7,4996.01,-0.641,0,0,0,4936,0.215,0,5376.65,2148827.1,4121.3,0,0.8206,0.7625,-896.14,13.514,6,1,1,0.001908,8.318954,1,21.43,0.00523,1,0,0,1,0
HVL-2026-000003,5951.04,16,8,5826.79,0.076,0,0,0,1485,0.396,0,5592.98,740647.77,5933.06,0,1.0213,1.064,124.25,4.066,2,0,0,0.008035,8.691489,1,17.98,0.00302,0,1,0,1,0
HVL-2026-000004,449.25,9,7,414.6,0.299,0,0,0,4130,0.302,0,404.72,2995366.67,451.53,0,1.0836,1.11,34.66,11.307,2,0,0,0.00015,6.10981,1,2.28,0.00507,0,0,1,1,0
HVL-2026-000005,3349.0,17,6,3525.31,-0.179,0,0,0,924,0.169,0,3518.24,1216261.23,3317.75,0,0.95,0.9519,-176.31,2.53,0,0,0,0.002754,8.116715,1,31.25,0.00933,1,0,0,0,1
HVL-2026-000006,738.35,13,4,762.99,-0.115,0,0,0,2656,0.152,0,818.98,1616184.5,736.94,0,0.9677,0.9015,-24.64,7.272,1,0,0,0.000457,6.605771,1,1.41,0.00191,1,0,0,1,0
HVL-2026-000007,11371.59,7,10,12532.32,-0.331,0,0,0,1486,0.109,0,12492.85,765495.4,11427.43,0,0.9074,0.9102,-1160.73,4.068,0,0,1,0.014855,9.338962,1,55.84,0.00491,1,0,0,0,1
HVL-2026-000008,1267.38,11,4,955.86,1.164,0,0,0,3659,0.063,0,920.46,2683920.68,1285.92,0,1.3259,1.3769,311.52,10.018,5,1,0,0.000472,7.145498,1,18.54,0.01463,0,1,0,0,1
HVL-2026-000009,2549.56,9,13,2708.33,-0.209,0,0,0,5021,0.361,0,2542.97,3157126.37,2548.46,0,0.9414,1.0026,-158.78,13.747,4,0,0,0.000808,7.844066,1,1.1,0.00043,1,0,0,1,0
HVL-2026-000010,3710.41,17,11,4538.35,-0.652,0,0,0,1354,0.324,0,4324.1,1565018.53,0.0,0,0.8176,0.8581,-827.94,3.707,1,0,0,0.002371,8.219167,0,0.0,0.0,1,0,0,1,0
HVL-2026-000011,5012.48,12,6,4996.01,0.012,0,0,0,4936,0.215,0,4972.05,3043706.63,0.0,0,1.0033,1.0081,16.46,13.514,5,1,0,0.001647,8.519885,0,0.0,0.0,0,1,0,0,1
HVL-2026-000012,12947.98,18,5,15790.13,-0.643,0,0,0,5072,0.169,0,15773.07,868560.88,13054.92,0,0.82,0.8209,-2842.15,13.886,3,0,0,0.014907,9.468772,1,106.94,0.00826,1,0,0,0,1
HVL-2026-000013,1553.64,7,6,1782.04,-0.458,0,0,0,337,0.156,0,1650.88,1840291.44,1526.12,0,0.8718,0.9411,-228.4,0.923,2,0,1,0.000844,7.348997,1,27.52,0.01771,0,1,0,1,0
HVL-2026-000014,15992.74,10,7,18264.33,-0.444,0,0,0,5094,0.254,0,17331.09,1952090.03,16012.71,0,0.8756,0.9228,-2271.58,13.947,1,0,0,0.008193,9.679953,1,19.97,0.00125,1,0,0,0,1
HVL-2026-000015,7425.16,17,5,6000.82,0.848,0,0,0,4246,0.102,0,5922.84,2719662.03,7286.85,0,1.2374,1.2536,1424.35,11.625,4,0,0,0.00273,8.912765,1,138.32,0.01863,1,0,0,1,0
HVL-2026-000016,391.73,16,6,418.57,-0.229,0,0,0,3196,0.295,0,409.19,725147.85,392.89,0,0.9359,0.9573,-26.85,8.75,3,0,0,0.00054,5.973119,1,1.16,0.00295,1,0,0,1,0
HVL-2026-000017,1772.59,13,7,2153.82,-0.632,0,0,0,4230,0.107,0,2117.48,1566109.84,1773.79,0,0.823,0.8371,-381.23,11.581,5,1,0,0.001132,7.48076,1,1.21,0.00068,1,0,0,1,0
HVL-2026-000018,4201.22,13,9,4003.32,0.177,0,0,0,2551,0.416,0,3726.35,1504593.94,4255.07,0,1.0494,1.1274,197.9,6.984,3,0,0,0.002792,8.343369,1,53.85,0.01282,0,0,1,1,0
HVL-2026-000019,5151.61,16,4,4996.01,0.111,0,0,0,4936,0.215,0,5279.69,1236569.28,5229.56,0,1.0311,0.9757,155.6,13.514,4,0,0,0.004166,8.547258,1,77.95,0.01513,1,0,0,0,1
HVL-2026-000020,714.79,8,11,724.46,-0.048,0,0,0,427,0.323,0,689.56,1096965.22,712.39,0,0.9867,1.0366,-9.67,1.169,6,1,0,0.000652,6.573386,1,2.4,0.00336,0,1,0,1,0
HVL-2026-000021,6261.2,13,5,5664.74,0.376,0,0,0,1382,0.168,0,6116.67,2674230.28,6276.91,0,1.1053,1.0236,596.45,3.784,2,0,0,0.002341,8.742286,1,15.72,0.00251,1,0,0,1,0
HVL-2026-000022,3664.2,13,7,3199.53,0.519,0,0,0,3899,0.359,0,3347.82,844716.94,3704.75,0,1.1452,1.0945,464.67,10.675,6,1,0,0.004338,8.206638,1,40.55,0.01107,1,0,0,1,0
HVL-2026-000023,1641.22,11,9,1682.61,-0.088,0,0,0,1110,0.029,0,1646.18,1215268.0,1654.33,0,0.9754,0.997,-41.38,3.039,3,0,0,0.001351,7.403806,1,13.11,0.00799,1,0,0,1,0
HVL-2026-000024,469.77,7,3,410.6,0.515,0,0,0,4557,0.59,0,442.34,2617293.98,465.42,0,1.1441,1.062,59.17,12.476,4,0,1,0.000179,6.154372,1,4.35,0.00926,1,0,0,1,0
HVL-2026-000025,1449.43,12,11,1450.06,-0.002,0,0,0,1826,0.313,0,1457.07,1865139.41,1443.55,0,0.9996,0.9948,-0.64,4.999,0,0,0,0.000777,7.279612,1,5.88,0.00405,1,0,0,0,1
HVL-2026-000026,1030.04,17,6,1016.33,0.048,0,0,0,388,0.045,0,1026.36,2270240.19,1020.42,0,1.0135,1.0036,13.71,1.062,5,1,0,0.000454,6.938327,1,9.63,0.00934,0,0,1,1,0
HVL-2026-000027,1556.77,17,4,1409.4,0.373,0,0,0,2097,0.119,0,1383.61,1410593.07,1560.75,0,1.1046,1.1251,147.36,5.741,1,0,0,0.001104,7.351009,1,3.98,0.00256,1,0,0,1,0
HVL-2026-000028,1565.12,16,7,1782.04,-0.435,0,0,0,337,0.156,0,1819.52,2659549.08,1561.1,0,0.8783,0.8602,-216.92,0.923,4,0,0,0.000588,7.356356,1,4.02,0.00257,1,0,0,0,1
HVL-2026-000029,1717.58,15,1,1409.4,0.781,0,0,0,2097,0.119,0,1454.87,2564438.95,1713.37,0,1.2187,1.1806,308.17,5.741,3,0,0,0.00067,7.449251,1,4.21,0.00245,1,0,0,0,1
HVL-2026-000030,1435.46,7,4,744.45,3.315,0,0,0,778,0.185,0,799.3,2983431.82,1447.58,0,1.9282,1.7959,691.0,2.13,3,0,1,0.000481,7.269935,1,12.13,0.00845,0,0,1,1,0
HVL-2026-000031,2315.96,8,8,2452.54,-0.199,0,0,0,80,0.058,0,2306.93,1854884.41,2290.7,0,0.9443,1.0039,-136.59,0.219,5,1,0,0.001249,7.748009,1,25.26,0.01091,1,0,0,0,1
HVL-2026-000032,2391.87,9,8,2026.7,0.643,0,0,0,2641,0.218,0,2074.89,574323.88,2369.56,0,1.1802,1.1528,365.16,7.231,2,0,0,0.004165,7.780248,1,22.31,0.00933,0,0,1,0,1
HVL-2026-000033,2569.49,0,4,949.23,6.096,1,0,1,4586,0.389,0,974.48,1517179.77,2247.72,1,2.7069,2.6368,1620.26,12.556,5,1,1,0.001694,7.85185,1,321.76,0.12523,1,0,0,1,0
HVL-2026-000034,3870.11,16,6,3763.06,0.102,0,0,0,2804,0.143,0,3965.84,1976263.95,3874.64,0,1.0284,0.9759,107.05,7.677,3,0,0,0.001958,8.261297,1,4.52,0.00117,1,0,0,0,1
HVL-2026-000035,9280.93,10,10,10034.06,-0.268,0,0,0,2157,0.087,0,10577.15,1186290.53,9295.0,0,0.9249,0.8775,-753.13,5.906,3,0,0,0.007823,9.135825,1,14.07,0.00152,1,0,0,1,0
HVL-2026-000036,4459.41,9,14,4537.95,-0.062,0,0,0,2321,0.201,0,4714.55,1731725.27,4460.29,0,0.9827,0.9459,-78.54,6.355,5,1,0,0.002575,8.402995,1,0.88,0.0002,1,0,0,0,1
HVL-2026-000037,2199.6,13,8,2708.33,-0.671,0,0,0,5021,0.361,0,2697.66,703286.73,2218.65,0,0.8122,0.8154,-508.73,13.747,6,1,0,0.003128,7.696486,1,19.05,0.00866,1,0,0,0,1
HVL-2026-000038,1548.19,15,8,1677.08,-0.274,0,0,0,381,0.421,0,1587.12,2232060.87,1551.6,0,0.9231,0.9755,-128.9,1.043,1,0,0,0.000694,7.345487,1,3.41,0.0022,1,0,0,1,0
HVL-2026-000039,2932.46,8,6,2821.97,0.14,0,0,0,3722,0.892,0,2915.43,712925.95,2945.91,0,1.0392,1.0058,110.49,10.19,2,0,0,0.004113,7.983938,1,13.45,0.00459,1,0,0,1,0
HVL-2026-000040,1937.52,12,6,1898.39,0.074,0,0,0,3011,0.121,0,1760.38,2067276.53,1913.72,0,1.0206,1.1006,39.13,8.244,3,0,0,0.000937,7.569681,1,23.81,0.01229,1,0,0,0,1
HVL-2026-000041,5685.17,15,9,5161.64,0.362,0,0,0,660,0.063,0,5496.45,3192002.62,5790.3,0,1.1014,1.0343,523.53,1.807,3,0,0,0.001781,8.645792,1,105.14,0.01849,1,0,0,0,1
HVL-2026-000042,17982.89,15,9,19025.37,-0.196,0,0,0,3417,0.734,0,19378.08,2043725.1,17835.72,0,0.9452,0.928,-1042.48,9.355,2,0,0,0.008799,9.797232,1,147.16,0.00818,0,0,1,0,1
HVL-2026-000043,11160.33,12,2,5830.54,3.265,1,0,0,2143,0.525,0,5982.66,1300638.04,11170.32,0,1.9141,1.8654,5329.79,5.867,6,1,0,0.008581,9.32021,1,9.99,0.0009,1,0,0,1,0
HVL-2026-000044,2069.97,8,2,1968.57,0.184,0,0,0,3302,0.227,0,2060.2,578313.59,2057.68,0,1.0515,1.0047,101.4,9.04,2,0,0,0.003579,7.635774,1,12.29,0.00594,1,0,0,0,1
HVL-2026-000045,1933.19,13,8,2153.06,-0.365,0,0,0,861,0.052,0,2090.49,2569058.47,1958.78,0,0.8979,0.9248,-219.87,2.357,3,0,0,0.000752,7.567443,1,25.6,0.01324,1,0,0,0,1
HVL-2026-000046,11581.96,4,3,4667.45,5.291,0,0,1,3427,0.201,0,4392.72,2246387.74,12417.64,1,2.4814,2.6366,6914.5,9.383,6,1,1,0.005156,9.35729,1,835.68,0.07215,0,1,0,1,0
HVL-2026-000047,911.6,9,8,949.23,-0.142,0,0,0,4586,0.269,0,951.17,1773664.39,919.56,0,0.9604,0.9584,-37.62,12.556,2,0,0,0.000514,6.816302,1,7.96,0.00873,0,0,1,0,1
HVL-2026-000048,2253.7,10,5,2245.57,0.013,0,0,0,4781,0.392,0,2092.53,635382.2,2250.14,0,1.0036,1.077,8.13,13.09,6,1,0,0.003547,7.720772,1,3.56,0.00158,1,0,0,0,1
HVL-2026-000049,1036.22,14,2,1072.31,-0.12,0,0,0,2443,0.238,0,1074.08,1765875.52,1038.92,0,0.9663,0.9648,-36.09,6.689,2,0,0,0.000587,6.944301,1,2.69,0.0026,0,0,1,0,1
HVL-2026-000050,446.31,15,10,415.04,0.269,0,0,0,1005,0.126,0,393.34,3221763.05,451.39,0,1.0754,1.1347,31.28,2.752,0,0,0,0.000139,6.103261,1,5.08,0.01138,1,0,0,1,0
HVL-2026-000051,358.19,15,13,371.49,-0.128,0,0,0,837,0.425,0,395.31,560623.06,353.73,0,0.9642,0.9061,-13.29,2.292,6,1,0,0.000639,5.883857,1,4.46,0.01245,1,0,0,0,1
HVL-2026-000052,4029.92,12,3,4315.98,-0.237,0,0,0,4029,0.249,0,4106.77,800468.46,4031.07,0,0.9337,0.9813,-286.06,11.031,2,0,0,0.005034,8.301751,1,1.15,0.00028,1,0,0,0,1
HVL-2026-000053,3506.87,12,9,3502.22,0.005,0,0,0,2078,0.156,0,3520.62,1360661.58,3535.73,0,1.0013,0.9961,4.65,5.689,0,0,0,0.002577,8.162764,1,28.86,0.00823,1,0,0,0,1
HVL-2026-000054,17723.95,18,7,15229.09,0.585,0,0,0,3484,0.59,0,15087.85,1529785.28,0.0,0,1.1638,1.1747,2494.85,9.539,0,0,0,0.011586,9.782728,0,0.0,0.0,1,0,0,0,1
HVL-2026-000055,12370.89,18,7,18264.33,-1.152,0,0,0,5094,0.254,0,18215.73,2416292.44,12456.45,0,0.6773,0.6791,-5893.44,13.947,1,0,0,0.00512,9.423182,1,85.56,0.00692,0,0,1,1,0
HVL-2026-000056,3068.98,17,8,2776.14,0.377,0,0,0,1079,0.195,0,2686.07,886722.71,3054.71,0,1.1055,1.1426,292.84,2.954,4,0,0,0.003461,8.029427,1,14.27,0.00465,0,1,0,0,1
