invoice_id,invoice_amount,submission_hour,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,annual_budget,ocr_total_extracted,image_tamper_flag,amount_to_supplier_90d_avg_ratio,amount_to_supplier_avg_ratio,amount_diff_supplier_90d_avg,supplier_age_years,invoice_day_of_week,weekend_invoice_flag,outside_business_hours_flag,invoice_to_department_budget_ratio,log_invoice_amount,image_metadata_available_flag,invoice_ocr_amount_diff,invoice_ocr_relative_diff,payment_terms_NET30,payment_terms_NET60,payment_terms_NET90,invoice_type_GOODS,invoice_type_SERVICES
HVL-2026-09101,9200,9.0,21.0,8950,0.22,0.0,0.0,0.0,1825.0,0.11,0.0,8700,540000,9200,0.0,1.0279,1.0575,250,4.9966,0.0,0.0,0.0,0.017037,9.127067,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0
HVL-2026-09102,31750,17.0,13.0,30100,0.61,0.0,0.0,0.0,980.0,0.28,0.0,29600,620000,31750,0.0,1.0548,1.0726,1650,2.6831,1.0,0.0,0.0,0.05121,10.365679,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0
HVL-2026-09103,214000,0.0,1.0,26500,6.45,0.0,1.0,1.0,16.0,0.94,1.0,25100,700000,180000,1.0,8.0755,8.5259,187500,0.0438,5.0,1.0,1.0,0.305714,12.273736,0.0,34000,0.158879,0.0,0.0,1.0,0.0,1.0
HVL-2026-09104,6850,12.0,8.0,7020,-0.16,0.0,0.0,0.0,3285.0,0.08,0.0,6900,410000,6850,0.0,0.9758,0.9928,-170,8.9938,2.0,0.0,0.0,0.016707,8.83215,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
HVL-2026-09105,76800,21.0,2.0,19800,4.82,1.0,0.0,0.0,63.0,0.84,0.0,19300,360000,76800,0.0,3.8788,3.9793,57000,0.1725,4.0,0.0,1.0,0.213333,11.248973,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0
HVL-2026-09106,14350,15.0,11.0,13800,0.39,0.0,0.0,0.0,1240.0,0.23,0.0,13650,450000,14350,0.0,1.0399,1.0513,550,3.3949,3.0,0.0,0.0,0.031889,9.571575,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
HVL-2026-09107,5100,10.0,17.0,5250,-0.25,0.0,0.0,0.0,2920.0,0.1,0.0,5150,280000,5100,0.0,0.9714,0.9903,-150,7.9945,1.0,0.0,0.0,0.018214,8.537192,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0
HVL-2026-09108,98500,3.0,4.0,24100,4.21,0.0,1.0,1.0,35.0,0.79,0.0,22600,400000,91000,1.0,4.0871,4.3584,74400,0.0958,6.0,1.0,1.0,0.24625,11.497822,1.0,7500,0.076142,0.0,0.0,1.0,1.0,0.0
HVL-2026-09109,22100,11.0,15.0,21500,0.33,0.0,0.0,0.0,675.0,0.31,0.0,20900,590000,22100,0.0,1.0279,1.0574,600,1.848,0.0,0.0,0.0,0.037458,10.003378,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0
HVL-2026-09110,45900,20.0,6.0,17000,3.08,1.0,0.0,0.0,118.0,0.76,0.0,16600,310000,45900,0.0,2.7,2.7651,28900,0.3231,2.0,0.0,1.0,0.148065,10.734242,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0
HVL-2026-09111,12400,13.0,10.0,12750,-0.28,0.0,0.0,0.0,2130.0,0.14,0.0,12500,470000,12400,0.0,0.9725,0.992,-350,5.8316,3.0,0.0,0.0,0.026383,9.425532,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0
HVL-2026-09112,132500,23.0,2.0,28900,5.16,0.0,1.0,1.0,28.0,0.88,0.0,27100,520000,132500,1.0,4.5848,4.8893,103600,0.0767,5.0,1.0,1.0,0.254808,11.794345,1.0,0,0.0,0.0,0.0,1.0,1.0,0.0
