invoice_id,invoice_amount,submission_hour,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,annual_budget,ocr_total_extracted,image_tamper_flag,amount_to_supplier_90d_avg_ratio,amount_to_supplier_avg_ratio,amount_diff_supplier_90d_avg,supplier_age_years,invoice_day_of_week,weekend_invoice_flag,outside_business_hours_flag,invoice_to_department_budget_ratio,log_invoice_amount,image_metadata_available_flag,invoice_ocr_amount_diff,invoice_ocr_relative_diff,payment_terms_NET30,payment_terms_NET60,payment_terms_NET90,invoice_type_GOODS,invoice_type_SERVICES
NBR-2026-09001,18450,10.0,18.0,17600,0.42,0.0,0.0,0.0,820.0,0.18,0.0,16900,950000,18450,0.0,1.0483,1.0917,850,2.245,1.0,0.0,0.0,0.019421,9.822874,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
NBR-2026-09002,7260,14.0,9.0,7010,0.31,0.0,0.0,0.0,1640.0,0.12,0.0,6950,420000,7260,0.0,1.0357,1.0446,250,4.4901,2.0,0.0,0.0,0.017286,8.890273,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0
NBR-2026-09003,96800,23.0,3.0,22100,4.65,0.0,1.0,1.0,74.0,0.87,0.0,19800,600000,96750,1.0,4.3801,4.8889,74700,0.2026,4.0,0.0,1.0,0.161333,11.480413,1.0,50,0.000517,1.0,0.0,0.0,0.0,1.0
NBR-2026-09004,12850,9.0,14.0,13100,-0.18,0.0,0.0,0.0,1095.0,0.21,0.0,12600,800000,12850,0.0,0.9809,1.0198,-250,2.9979,0.0,0.0,0.0,0.016063,9.461177,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
NBR-2026-09005,44120,2.0,22.0,14500,3.92,1.0,0.0,1.0,38.0,0.96,1.0,15100,500000,39000,1.0,3.0428,2.9219,29620,0.104,6.0,1.0,1.0,0.08824,10.694691,0.0,5120,0.116047,0.0,0.0,1.0,0.0,1.0
NBR-2026-09006,6150,11.0,6.0,6380,-0.22,0.0,0.0,0.0,2555.0,0.09,0.0,6200,350000,6150,0.0,0.9639,0.9919,-230,6.9952,3.0,0.0,0.0,0.017571,8.72437,1.0,0,0.0,0.0,1.0,0.0,1.0,0.0
NBR-2026-09007,27300,16.0,12.0,25900,0.56,0.0,0.0,0.0,730.0,0.34,0.0,24800,700000,27300,0.0,1.0541,1.1008,1400,1.9986,4.0,0.0,0.0,0.039,10.214679,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
NBR-2026-09008,152400,1.0,2.0,28750,5.88,0.0,1.0,1.0,21.0,0.91,0.0,27500,480000,152400,1.0,5.3009,5.5418,123650,0.0575,5.0,1.0,1.0,0.3175,11.93427,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0
NBR-2026-09009,9350,13.0,7.0,9020,0.27,0.0,0.0,0.0,2190.0,0.15,0.0,8900,300000,9350,0.0,1.0366,1.0506,330,5.9959,1.0,0.0,0.0,0.031167,9.143239,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
NBR-2026-09010,38400,19.0,5.0,18100,2.74,0.0,0.0,0.0,92.0,0.72,0.0,17400,250000,38400,0.0,2.1215,2.2069,20300,0.2519,2.0,0.0,1.0,0.1536,10.555839,1.0,0,0.0,0.0,1.0,0.0,0.0,1.0
NBR-2026-09011,11400,8.0,16.0,11950,-0.35,0.0,0.0,0.0,1460.0,0.19,0.0,11700,760000,11400,0.0,0.954,0.9744,-550,3.9973,3.0,0.0,0.0,0.015,9.341456,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0
NBR-2026-09012,58750,22.0,4.0,16200,4.11,1.0,1.0,1.0,47.0,0.89,0.0,15800,330000,52000,1.0,3.6265,3.7184,42550,0.1287,6.0,1.0,1.0,0.17803,10.981063,0.0,6750,0.114894,0.0,0.0,1.0,0.0,1.0
