invoice_id,invoice_amount,submission_hour,supplier_invoice_count_30d,supplier_avg_amount_90d,invoice_amount_zscore,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,supplier_age_days,supplier_risk_score,blacklisted_flag,avg_invoice_amount,annual_budget,ocr_total_extracted,image_tamper_flag,amount_to_supplier_90d_avg_ratio,amount_to_supplier_avg_ratio,amount_diff_supplier_90d_avg,supplier_age_years,invoice_day_of_week,weekend_invoice_flag,outside_business_hours_flag,invoice_to_department_budget_ratio,log_invoice_amount,image_metadata_available_flag,invoice_ocr_amount_diff,invoice_ocr_relative_diff,payment_terms_NET30,payment_terms_NET60,payment_terms_NET90,invoice_type_GOODS,invoice_type_SERVICES
NBM-2026-000001,2912.77,16,6,2876.97,0.044,0,0,0,1386,0.056,0,3037.35,2974748.45,2901.43,0,1.0124,0.959,35.79,3.795,6,1,0,0.000979,7.977201,1,11.34,0.00389,1,0,0,0,1
NBM-2026-000002,13702.2,12,7,14186.61,-0.122,0,0,0,3670,0.787,0,13813.08,2069744.75,13739.83,0,0.9659,0.992,-484.41,10.048,4,0,0,0.00662,9.525385,1,37.63,0.00275,0,0,1,1,0
NBM-2026-000003,6185.79,12,10,6118.96,0.039,0,0,0,4064,0.096,0,6161.1,2286080.57,6165.88,0,1.0109,1.004,66.83,11.127,0,0,0,0.002706,8.730171,1,19.91,0.00322,0,1,0,0,1
NBM-2026-000004,1677.32,8,3,1482.32,0.47,0,0,0,1927,0.944,0,1475.29,3960370.29,1678.24,0,1.1316,1.1369,195.01,5.276,6,1,0,0.000424,7.425551,1,0.92,0.00055,0,1,0,1,0
NBM-2026-000005,11568.8,15,3,10878.56,0.227,0,0,0,3268,0.211,0,10026.56,3488569.02,11624.81,0,1.0634,1.1538,690.24,8.947,3,0,0,0.003316,9.356153,1,56.01,0.00484,1,0,0,1,0
NBM-2026-000006,6651.52,7,9,6505.53,0.08,0,0,0,3103,0.205,0,6465.03,3822996.64,6592.61,0,1.0224,1.0288,145.99,8.496,0,0,1,0.00174,8.802751,1,58.91,0.00886,1,0,0,0,1
NBM-2026-000007,6240.7,18,6,6399.34,-0.089,0,0,0,1028,0.495,0,6262.46,1521180.36,6238.68,0,0.9752,0.9965,-158.64,2.815,4,0,0,0.004103,8.739007,1,2.02,0.00032,1,0,0,1,0
NBM-2026-000008,12385.48,14,5,12822.06,-0.122,0,0,0,2165,0.827,0,13308.0,2892711.53,12298.42,0,0.966,0.9307,-436.58,5.927,1,0,0,0.004282,9.424361,1,87.06,0.00703,0,1,0,1,0
NBM-2026-000009,503.41,18,7,638.85,-0.757,0,0,0,4905,0.109,0,632.62,1471038.31,504.34,0,0.788,0.7958,-135.44,13.429,6,1,0,0.000342,6.223398,1,0.93,0.00184,1,0,0,1,0
NBM-2026-000010,1778.05,9,7,1498.56,0.666,0,0,0,2936,0.067,0,1602.27,911951.73,1786.14,0,1.1865,1.1097,279.49,8.038,6,1,0,0.00195,7.483834,1,8.09,0.00455,1,0,0,0,1
